title,overview,genre_id,media_type,tmdb_id,poster_path,platform_ids,vote_average,popularity,release_date,platforms
Counterattack,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",28,movie,1356039,/38I76hGcFY6xB47pjm7pZwkfuAF.jpg,[8],8.372,84.0418,2025-02-27,['Netflix']
Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",28,movie,569094,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,[8],8.344,29.2996,2023-05-31,['Netflix']
Ultraman: Rising,"A star athlete reluctantly returns home to take over his father's duties as Ultraman, shielding Tokyo from giant monsters as he becomes a legendary hero.",28,movie,829402,/cYaThZqtLuBThBcrV6YRLLwL8F5.jpg,[8],8.189,7.4582,2024-06-14,['Netflix']
Black Clover: Sword of the Wizard King,"As a lionhearted boy who can't wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",28,movie,812225,/9YEGawvjaRgnyW6QVcUhFJPFDco.jpg,[8],8.161,8.4673,2023-06-16,['Netflix']
My Hero Academia: Heroes Rising,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation... until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",28,movie,592350,/kpWsIkfXrnQ1pmR79qAHHq7DPxc.jpg,[8],8.16,5.8287,2019-12-20,['Netflix']
Jujutsu Kaisen 0,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?",28,movie,810693,/23oJaeBh0FDk2mQ2P240PU9Xxfh.jpg,[8],8.135,12.9188,2021-12-24,['Netflix']
Green Snake,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life.",28,movie,795607,/1zs5zsQDP5KuWwxIg9EUULLFEV.jpg,[8],8.105,3.4273,2021-07-23,['Netflix']
"Miraculous World: New York, United HeroeZ","Marinette’s class is headed to New York, the city of superheroes, for French-American Friendship Week. The whole class is there...except Adrien, whose father refuses to let him go!",28,movie,755812,/9YbyvcrHmY2SVbdfXpb8mC4Fy0g.jpg,[8],8.085,6.6844,2020-09-25,['Netflix']
New Gods: Nezha Reborn,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",28,movie,663558,/np4ScPY04HESKBbpexwstKsipKe.jpg,[8],8.1,7.9898,2021-02-06,['Netflix']
Miraculous World: Shanghai - The Legend of Ladydragon,"On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",28,movie,726684,/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg,[8],7.9,5.5603,2021-05-15,['Netflix']
